strain,stress_MPa
-0.0,-0.0
0.00199999995529652,0.00046416273835348
0.00399999991059303,0.000925922993774293
0.00700000002980232,0.0016141252113448
0.0115000002086163,0.00263664344907738
0.0182500004768372,0.00414901958021801
0.0283749997615814,0.00637154467520304
0.0435624986886978,0.00960825114860199
0.0635625004768372,0.0137079702038318
0.0835624992847443,0.0176407572976314
0.103562498092651,0.0214237067569047
0.123562502861023,0.0250716537679546
0.143562495708466,0.0285972817917354
0.163562500476837,0.0320115554216318
0.183562505245209,0.0353240205184557
0.2,0.0379749070829712
