displacement_mm,force_N
-0.0,-0.0
0.159999996423721,3.46736171469092
0.319999992847443,6.91559127438813
0.560000002384186,12.0526235569268
0.920000016689301,19.680397355929
1.46000003814697,30.9522964060307
2.26999998092651,47.4956981688738
3.48499989509583,71.5449421554804
5.08500003814697,101.937496215105
6.68499994277954,131.024980187416
8.28499984741211,158.945609427989
9.88500022888184,185.817443849519
11.4849996566772,211.739859376103
13.085000038147,236.797335013747
14.6850004196167,261.062440428883
16.0,280.447519592941
