strain,stress_MPa
-0.0,-0.0
0.00199999995529652,0.000510432178282372
0.00399999991059303,0.0010182531430678
0.00700000002980232,0.00177515868897899
0.0115000002086163,0.00289987356478832
0.0182500004768372,0.0045636553885015
0.0283749997615814,0.00700918606868072
0.0435624986886978,0.0105716328401468
0.0635625004768372,0.0150853957358049
0.0835624992847443,0.0194167237682268
0.103562498092651,0.0235841708211228
0.123562502861023,0.0276038894720841
0.143562495708466,0.0314897492807358
0.163562500476837,0.0352537668822333
0.183562505245209,0.0389064048742875
0.2,0.0418302851705812
