strain,stress_MPa
-0.0,-0.0
0.00199999995529652,0.00032126941392562
0.00399999991059303,0.000640899828940746
0.00700000002980232,0.00111731434277317
0.0115000002086163,0.00182525444070052
0.0182500004768372,0.00287255461764289
0.0283749997615814,0.00441206291521667
0.0435624986886978,0.00665501540584955
0.0635625004768372,0.0094976057112217
0.0835624992847443,0.0122262057557236
0.103562498092651,0.0148525639867876
0.123562502861023,0.0173868541512638
0.143562495708466,0.0198378139105625
0.163562500476837,0.0222130110440776
0.183562505245209,0.024519043371547
0.2,0.0263660517497919
