strain,stress_MPa
-0.0,-0.0
0.00199999995529652,0.000295669186525629
0.00399999991059303,0.000589675900846487
0.00700000002980232,0.00102761688336614
0.0115000002086163,0.00167777207941981
0.0182500004768372,0.00263827715069056
0.0283749997615814,0.00404742867103778
0.0435624986886978,0.00609483132488094
0.0635625004768372,0.00868056204169989
0.0835624992847443,0.0111536248843186
0.103562498092651,0.0135259908810258
0.123562502861023,0.0158077091397718
0.143562495708466,0.0180070448527113
0.163562500476837,0.0201308066630736
0.183562505245209,0.022184611693956
0.2,0.0238227978209034
