strain,stress_MPa
-0.0,-0.0
0.00199999995529652,0.000389044706025743
0.00399999991059303,0.000776282824517693
0.00700000002980232,0.00135379603794718
0.0115000002086163,0.00221268336375942
0.0182500004768372,0.00348482011409942
0.0283749997615814,0.00535808202868793
0.0435624986886978,0.00809391266317107
0.0635625004768372,0.0115717957401648
0.0835624992847443,0.0149206583143678
0.103562498092651,0.0181530509633012
0.123562502861023,0.0212800399947446
0.143562495708466,0.0243112644180655
0.163562500476837,0.0272551722882781
0.183562505245209,0.0301191913394723
0.2,0.0324170485278591
