strain,stress_MPa
-0.0,-0.0
0.00199999995529652,0.000270627851905374
0.00399999991059303,0.000539944520605786
0.00700000002980232,0.000941492085294158
0.0115000002086163,0.00153845926186477
0.0182500004768372,0.00242220628788346
0.0283749997615814,0.00372250634318334
0.0435624986886978,0.00561956758901943
0.0635625004768372,0.0080279864766635
0.0835624992847443,0.0103440089413198
0.103562498092651,0.0125769441045122
0.123562502861023,0.0147349244612269
0.143562495708466,0.0168249952362385
0.163562500476837,0.018853303657379
0.183562505245209,0.0208252328523668
0.2,0.0224066070833942
