strain,stress_MPa
-0.0,-0.0
0.00199999995529652,0.000383669965594891
0.00399999991059303,0.000765044984073029
0.00700000002980232,0.00133287570861285
0.0115000002086163,0.00217531720772968
0.0182500004768372,0.00341874370584264
0.0283749997615814,0.00524056016933173
0.0435624986886978,0.00788273771468084
0.0635625004768372,0.0112121097778436
0.0835624992847443,0.0143891312798951
0.103562498092651,0.0174304471188225
0.123562502861023,0.0203497200645506
0.143562495708466,0.0231578677939251
0.163562500476837,0.025863582585007
0.183562505245209,0.0284737938595936
0.2,0.0305505599523894
