time,avg_u3_mm,sum_rf3_N,displacement_mm,force_N,strain,stress_MPa
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
0.00999999977648258,-0.159999996423721,-2.52625237987377,0.159999996423721,2.52625237987377,0.00199999995529652,0.000394726934355276
0.0199999995529652,-0.319999992847443,-5.04030413739383,0.319999992847443,5.04030413739383,0.00399999991059303,0.000787547521467786
0.0350000001490116,-0.560000002384186,-8.78880989039317,0.560000002384186,8.78880989039317,0.00700000002980232,0.00137325154537393
0.0575000010430813,-0.920000016689301,-14.3617582460865,0.920000016689301,14.3617582460865,0.0115000002086163,0.00224402472595102
0.0912500023841858,-1.46000003814697,-22.6120290644467,1.46000003814697,22.6120290644467,0.0182500004768372,0.00353312954131979
0.141874998807907,-2.26999998092651,-34.7521434910595,2.26999998092651,34.7521434910595,0.0283749997615814,0.00543002242047805
0.217812493443489,-3.48499989509583,-52.4644739329815,3.48499989509583,52.4644739329815,0.0435624986886978,0.00819757405202836
0.317812502384186,-5.08500003814697,-74.9519311413169,5.08500003814697,74.9519311413169,0.0635625004768372,0.0117112392408308
0.417812496423721,-6.68499994277954,-96.5762072950602,6.68499994277954,96.5762072950602,0.0835624992847443,0.0150900323898531
0.517812490463257,-8.28499984741211,-117.423068158329,8.28499984741211,117.423068158329,0.103562498092651,0.0183473543997388
0.617812514305115,-9.88500022888184,-137.567820638418,9.88500022888184,137.567820638418,0.123562502861023,0.0214949719747528
0.717812478542328,-11.4849996566772,-157.07570873946,11.4849996566772,157.07570873946,0.143562495708466,0.0245430794905405
0.817812502384186,-13.085000038147,-176.003699213266,13.085000038147,176.003699213266,0.163562500476837,0.0275005780020729
0.917812526226044,-14.6850004196167,-194.401767760515,14.6850004196167,194.401767760515,0.183562505245209,0.0303752762125805
1.0,-16.0,-209.151486165822,16.0,209.151486165822,0.2,0.0326799197134096
