strain,stress_MPa
-0.0,-0.0
0.00199999995529652,0.000277550225491723
0.00399999991059303,0.000553470496997761
0.00700000002980232,0.000964343842715607
0.0115000002086163,0.00157404159122962
0.0182500004768372,0.00247419695209828
0.0283749997615814,0.00379361431056168
0.0435624986886978,0.00570827904477483
0.0635625004768372,0.00812272798735648
0.0835624992847443,0.010428499308764
0.103562498092651,0.0126373866363429
0.123562502861023,0.0147591172892135
0.143562495708466,0.0168015328946058
0.163562500476837,0.0187690244673286
0.183562505245209,0.0206701307464391
0.2,0.0221867787186056
