time,avg_u3_mm,sum_rf3_N,displacement_mm,force_N,strain,stress_MPa
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
0.00999999977648258,-0.159999996423721,-2.05612424912397,0.159999996423721,2.05612424912397,0.00199999995529652,0.00032126941392562
0.0199999995529652,-0.319999992847443,-4.10175890522078,0.319999992847443,4.10175890522078,0.00399999991059303,0.000640899828940746
0.0350000001490116,-0.560000002384186,-7.15081179374829,0.560000002384186,7.15081179374829,0.00700000002980232,0.00111731434277317
0.0575000010430813,-0.920000016689301,-11.6816284204833,0.920000016689301,11.6816284204833,0.0115000002086163,0.00182525444070052
0.0912500023841858,-1.46000003814697,-18.3843495529145,1.46000003814697,18.3843495529145,0.0182500004768372,0.00287255461764289
0.141874998807907,-2.26999998092651,-28.2372026573867,2.26999998092651,28.2372026573867,0.0283749997615814,0.00441206291521667
0.217812493443489,-3.48499989509583,-42.5920985974371,3.48499989509583,42.5920985974371,0.0435624986886978,0.00665501540584955
0.317812502384186,-5.08500003814697,-60.7846765518188,5.08500003814697,60.7846765518188,0.0635625004768372,0.0094976057112217
0.417812496423721,-6.68499994277954,-78.2477168366313,6.68499994277954,78.2477168366313,0.0835624992847443,0.0122262057557236
0.517812490463257,-8.28499984741211,-95.0564095154405,8.28499984741211,95.0564095154405,0.103562498092651,0.0148525639867876
0.617812514305115,-9.88500022888184,-111.275866568089,9.88500022888184,111.275866568089,0.123562502861023,0.0173868541512638
0.717812478542328,-11.4849996566772,-126.9620090276,11.4849996566772,126.9620090276,0.143562495708466,0.0198378139105625
0.817812502384186,-13.085000038147,-142.163270682096,13.085000038147,142.163270682096,0.163562500476837,0.0222130110440776
0.917812526226044,-14.6850004196167,-156.921877577901,14.6850004196167,156.921877577901,0.183562505245209,0.024519043371547
1.0,-16.0,-168.742731198668,16.0,168.742731198668,0.2,0.0263660517497919
