strain,stress_MPa
-0.0,-0.0
0.00199999995529652,0.000418311394350894
0.00399999991059303,0.000834492075955495
0.00700000002980232,0.00145482521009399
0.0115000002086163,0.00237664203013992
0.0182500004768372,0.00374037104455056
0.0283749997615814,0.00574508708639769
0.0435624986886978,0.00866591730446089
0.0635625004768372,0.0123677281819982
0.0835624992847443,0.0159210744663142
0.103562498092651,0.0193411212728824
0.123562502861023,0.0226410589681473
0.143562495708466,0.0258322066825349
0.163562500476837,0.0289243790798355
0.183562505245209,0.031926151815569
0.2,0.0343298727401998
