displacement_mm,force_N
-0.0,-0.0
0.159999996423721,1.73201825219439
0.319999992847443,3.45564493187703
0.560000002384186,6.02554934588261
0.920000016689301,9.84613927593455
1.46000003814697,15.5021202424541
2.26999998092651,23.8240405963734
3.48499989509583,35.9652325697243
5.08500003814697,51.3791134506464
6.68499994277954,66.2016572244465
8.28499984741211,80.4924422688782
9.88500022888184,94.3035165518522
11.4849996566772,107.679969511926
13.085000038147,120.661143407226
14.6850004196167,133.281490255147
16.0,143.402285333723
